trial_id,layout_id,country,relevant (new) tags
9446,53750,Brazil,"2,4,5,6,8"
9479,53772,Brazil,"2,4,5,6,11"
9667,53819,USA,"1,3,4,10"
9734,53822,USA,"1,3,4,6,10"
9735,53823,USA,"1,3,4,6,10"
9736,53824,USA,"1,3,4,6,10"
9686,53825,USA,"1,4,5,6,10"
9731,53849,USA,"1,3,4,7"
9721,53850,USA,"3,5,6,10"
9726,53851,USA,"1,5,11"
9668,53853,USA,"1,3,6"
517,3205,Argentina,"1,5"
515,3207,Argentina,"3,5,8"
525,3213,Argentina,"1,4,5,9"
569,3258,Argentina,"4,5,9,10,11"
678,3366,Argentina,"4,5,11"
951,4083,Argentina,"1,3,4,5,6,10"
1132,5510,Argentina,"5,6,8"
1124,5453,Argentina,"3,4,6,10"
5882,31255,Argentina,"4,6,11"
5896,31396,Argentina,"4,5"
6049,33253,Argentina,"4,6,7"
,33833,Argentina,"4,11"
6135,33881,Argentina,"4,5,6,7"
6139,33899,Argentina,"4,5,11"
6140,33928,Argentina,"4,5,6,7,11"
6152,34199,Argentina,"4,6,11"
6155,34234,Argentina,"4,11"
6156,34246,Argentina,4
6158,34417,Argentina,4
,34852,Argentina,"10,11"
6205,35576,Argentina,"4,5,7,9,11"
6218,35656,Argentina,"10,11"
6384,36804,Argentina,"4,5,7,11"
6400,37179,Argentina,"4,5,6,10,11"
6403,37186,Argentina,"4,5,6"
6439,37326,Argentina,"4,5,11"
v,37328,Argentina,"3,5,6,10"
,37420,Argentina,"4,5,7,11"
,37801,Argentina,"2,4,11"
,36588,Brazil,"2,4,5,6"
,37800,USA,"5,9,11"
,37807,USA,"2,5,3"
,38454,USA,"1,4,5,11"
,37941,USA,"1,5,3"
,38349,USA,"2,5,11"
,38032,USA,"2,5,11"
,38028,USA,"3,4,5"
470,3143,Brazil,"2,4,5,6,7,11"
471,3144,Brazil,"2,4,5,6,7,11"
467,3140,Brazil,"2,5,8,11"
469,3142,Brazil,"2,5,6,8,11"
480,3153,Brazil,"2,5,4,11,"
484,3157,Brazil,"2,4,5,6,11"
474,3147,Brazil,"2,4,5,6,11"
479,3152,Brazil,"2,3,4,5,7,8"
486,3175,Brazil,"2,5,6,8,11"
486,3177,Brazil,"2,5,6,8,11"
490,3181,Brazil,"2,4,5,6,11"
527,3219,Brazil,"2,5,8,11"
534,3227,Brazil,"2,3,5,7"
873,3707,Brazil,"2,3,5,6,8,10"
875,3709,Brazil,"2,3,5,6,8,10"
877,3711,Brazil,"2,3,5,6,8,10"
994,4478,Brazil,"2,6,11"
1103,5256,Brazil,"2,5,6,7,11"
1104,5255,Brazil,"2,5,6,7,11"
1109,5258,Brazil,"2,5,9,10,7,11"
1177,5702,Brazil,"2,4,5,6,7,9"
1176,5701,Brazil,"2,4,5,6"
1181,5708,Brazil,"2,3,4,5,6,10"
1183,5711,Brazil,"2,4,5,6,7,11"
1184,5709,Brazil,"2,4,5,6,11"
1356,6727,Brazil,"2,4,5,10,11"
1361,6740,Brazil,"2,3,4,5,8"
1344,6721,Brazil,"2,4,5,8,11"
1337,6695,Brazil,"2,4,5,11"
1332,6673,Brazil,"2,4,5,7,11"
1369,6747,Brazil,"2,5"
1325,6672,Brazil,"2,5"
1380,7098,Brazil,"2,5,7"
1384,7106,Brazil,"2,4,5"
1405,7274,Brazil,"2,4,5,6,9"
1409,7283,Brazil,"2,5,8,11"
1413,7298,Brazil,"2,4,5"
1419,7307,Brazil,"2,4,5"
9692,53808,USA,"1,3,4,10"
9672,53817,USA,"1,4,5,6,11"
9670,53821,USA,"1,5,6,10,11"
9723,53839,USA,"1,4,5,11"
9695,53855,USA,"1,3,4,5,9,10"
9824,53975,USA,"1,3,4,5,9,10"
9713,53980,USA,"1,3,4,5,7,10"
9716,53989,USA,"1,3,4,5,7,10"
9739,53994,USA,"1,4,5,9,10,11"
9682,54054,USA,"1,4,11"
9691,54090,USA,"1,4,5,6,11"
9727,54118,USA,"1,5,8,11"
9678,54189,USA,"1,4,5,11"
9930,54120,USA,"1,3,4,6,7,10"
